,SpecimenCode,Species,isSoil,isGround,isArboreal,MicrohabString,Caste,sortingID
0,jtl211489,formicinaebrachymyrmex (indet),False,True,False,ex sifted leaf litter,worker,519182
0,jtl211490,formicinaeacropyga exsanguis,False,True,False,ex sifted leaf litter,worker,519183
0,jtl211491,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519184
0,jtl211492,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,queen,519185
0,jtl211493,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519186
0,jtl211494,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519187
0,jtl211495,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,queen,519188
0,jtl211496,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,queen,519189
0,jtl211497,myrmicinaestrumigenys subedentata,False,True,False,ex sifted leaf litter,worker,519190
0,jtl211498,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519191
0,jtl211499,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519192
0,jtl211500,myrmicinaepheidole flavens,False,True,False,ex sifted leaf litter,worker,519193
0,jtl211501,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519194
0,jtl211502,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519195
0,jtl211503,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519196
0,jtl211504,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519197
0,jtl211505,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519198
0,jtl211506,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519199
0,jtl211507,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519200
0,jtl211508,myrmicinaeadelomyrmex silvestrii,False,True,False,ex sifted leaf litter,worker,519201
0,jtl211509,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519202
0,jtl211510,myrmicinaepheidole acamata,False,True,False,ex sifted leaf litter,worker,519203
0,jtl211511,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519204
0,jtl211512,formicinaecamponotus integellus,False,True,False,ex sifted leaf litter,queen,519205
0,jtl211513,formicinaecamponotus atriceps,False,True,False,ex sifted leaf litter,worker,519206
0,jtl211514,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519207
0,jtl211515,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519208
0,jtl211516,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519209
0,jtl211517,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,worker,519210
0,jtl211518,myrmicinaestrumigenys margaritae,False,True,False,ex sifted leaf litter,worker,519211
0,jtl211519,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,queen,519212
0,jtl211520,dorylinaeneivamyrmex compressinodis,False,True,False,ex sifted leaf litter,worker,519213
0,jtl211521,myrmicinaestrumigenys cordovensis,False,True,False,ex sifted leaf litter,worker,519214
0,jtl211522,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519215
0,jtl211523,dolichoderinaetapinoma (indet),False,True,False,ex sifted leaf litter,worker,519216
0,jtl211524,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519217
0,jtl211525,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519218
0,jtl211526,myrmicinaepheidole specularis,False,True,False,ex sifted leaf litter,worker,519219
0,jtl211527,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519220
0,jtl211528,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519221
0,jtl211529,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519222
0,jtl211530,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519223
0,jtl211531,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519224
0,jtl211532,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519225
0,jtl211533,ponerinaethaumatomyrmex ferox_complex,False,True,False,ex sifted leaf litter,worker,519226
0,jtl211534,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,queen,519227
