"","V1","V2","V3","V4"
"39660","casent0900952","166.52207428171","105.415557112824","66.2505255781359"
"39661","casent0900972","89.859649122807","75.6950998185118","64.1875378100423"
"39662","casent0900986","173.897621509824","116.922440537746","58.0460186142709"
"39663","casent0900994","149.554186145346","110.71270718232","80.0798980025499"
"39664","casent0901016","72.7144866385373","65.3464603844351","59.9784341303329"
"39665","casent0901017","69.0319911748483","66.7975730832874","64.8758963044677"
"39666","casent0900979","95.6031664964249","75.2313585291113","72.0260469867211"
"39667","casent0901010","91.4774988157271","77.3183325438181","66.9621032685931"
"39668","casent0901008","92.0245941957698","71.6296114117068","60.4038366945401"
"39669","casent0901066","112.837525773196","84.3327835051546","70.5913402061856"
"39670","casent0901067","180.320626276378","141.872021783526","83.3968686181076"
"39671","casent0901072","105.493693693694","80.2870870870871","61.3105105105105"
"39672","casent0901026","135.665945165945","93.8831168831169","71.8629148629149"
"39673","casent0901048","113.855831037649","72.8879706152433","59.0606060606061"
"39674","casent0901033","129.357883817427","90.6509336099585","58.9548755186722"
"39675","casent0901035","126.958168207838","85.4240422721268","64.7102597974461"
"39676","casent0901029","74.8925831202046","65.5873827791986","61.4774083546462"
"39677","casent0901020","95.6830231246475","73.6999435984208","64.7992103778906"
"39678","casent0901057","191.44427244582","155.208978328173","96.7012383900929"
"39679","casent0901086","65.1900647948164","55.8005759539237","53.4622030237581"
"39680","casent0901084","78.2483419307296","60.0198968312454","56.2918201915991"
"39681","casent0901077","180.27975376197","145.393980848153","93.0047879616963"
"39682","casent0901081","70.803137254902","58.0337254901961","56.958431372549"
"39683","casent0901102","99.6985887096774","75.3114919354839","62.5302419354839"
"39684","casent0901094","142.853658536585","104.473022912047","70.779748706578"
"39685","casent0901131","106.793079584775","99.1598615916955","94.6463667820069"
"39686","casent0901135","109.636123928807","81.5095583388266","69.878707976269"
"39687","casent0901186","86.5230414746544","68.7188940092166","62.0783410138249"
"39688","casent0901169","143.821357943309","103.479235332894","69.5860250494397"
"39689","casent0901170","87.669183577159","71.1009910335064","68.2638036809816"
"39690","casent0901153","107.676991150442","79.4823008849557","66.3174778761062"
"39691","casent0901155","117.095185390149","87.6236856668511","75.4377421140011"
"39692","casent0901184","103.760957975599","80.3605964753728","66.9267962042476"
"39693","casent0901180","87.4788451966152","81.8158287705326","80.6351418616227"
"39694","casent0901172","116.663948747816","80.3989516598719","68.1129877693652"
"39695","casent0901163","97.0966981132076","74.3466981132076","65.466391509434"
"39696","casent0901166","94.5253692999358","70.7116249197174","66.8625561978163"
"39697","casent0901198","87.4558737580362","70.6808883693746","67.2857977790766"
"39698","casent0901238","211.8912","166.4832","100.7704"
"39699","casent0901235","207.071641791045","167.920895522388","109.407462686567"
"39700","casent0901255","130.712775735294","94.5955882352941","76.4306066176471"
"39701","casent0901233","118.783505154639","87.6034892942109","68.6312450436162"
"39702","casent0901248","153.965567410281","107.347235693501","84.1663433559651"
"39703","casent0901250","158.532043530834","107.135026199113","74.6690850463523"
"39704","casent0901221","130.840579710145","98.6578831796223","73.5928853754941"
"39705","casent0901289","139.617867867868","96.2687687687688","62.6081081081081"
"39706","casent0901290","106.416097560976","78.1146341463415","61.1639024390244"
"39707","casent0901291","110.845952023988","73.9126686656672","60.0592203898051"
"39708","casent0901272","122.087858450275","91.0750457596095","74.6375838926175"
"39709","casent0901273","107.474312402699","84.2843798650753","60.6144265697976"
"39710","casent0901310","137.205027494108","95.9434406912804","62.209740769835"
"39711","casent0901262","86.6281318681319","69.4496703296703","65.9265934065934"
"39712","casent0901275","97.0346268656716","75.9313432835821","68.2274626865672"
"39713","casent0901301","120.154997976528","87.2561715904492","72.217725617159"
"39714","casent0901300","86.795524691358","69.0162037037037","57.179012345679"
"39715","casent0901266","126.756097560976","102.783197831978","77.1013550135501"
"39716","casent0901365","82.598643649815","76.5320591861899","73.22934648582"
"39717","casent0901370","74.0849875930521","59.0552109181141","58.5657568238213"
"39718","casent0901321","82.2519788918206","61.660510114336","55.3992963940194"
"39719","casent0901353","76.6765","68.4445","65.4095"
"39720","casent0901337","96.53434225844","85.4342258440047","81.2083818393481"
"39721","casent0901355","98.5209809264305","76.9858310626703","70.7972752043597"
"39722","casent0901372","90.6878727634195","74.1981444665341","69.2379058979457"
"39723","casent0901325","84.3300970873786","65.8151118615449","57.4335162515829"
"39724","casent0901333","97.9820359281437","74.1214713430282","61.3952095808383"
"39725","casent0901311","144.406327236777","107.17251606525","74.2876915472071"
"39726","casent0901398","89.6014394961763","73.6887089518668","65.9500674763833"
"39727","casent0901417","94.7133566783392","74.48024012006","71.455727863932"
"39728","casent0901418","81.0315699658703","66.792662116041","64.3600682593857"
"39729","casent0901407","106.239747634069","75.9309936908517","58.7294952681388"
"39730","casent0901397","123.012057877814","86.5799839228296","67.693729903537"
"39731","casent0901381","163.699649122807","114.653333333333","85.140350877193"
"39732","casent0901399","103.946854663774","75.5325379609544","61.4186550976139"
"39733","casent0901402","96.5482456140351","71.2269736842105","65.0237573099415"
"39734","casent0901390","96.275307473983","69.7048249763481","58.678334910123"
"39735","casent0901387","133.171348314607","92.5789325842697","70.8474719101124"
"39736","casent0901446","83.1629881154499","69.53480475382","67.9363327674024"
"39737","casent0901424","98.8728632478633","79.7015669515669","70.3917378917379"
"39738","casent0901421","95.7789115646258","75.1547619047619","59.7670068027211"
"39739","casent0901450","71.8149584487535","70.3689750692521","72.4947368421053"
"39740","casent0901440","187.895316804408","143.723599632691","80.951331496786"
"39741","casent0901420","87.4858823529412","71.8988235294118","69.9517647058824"
"39742","casent0901448","85.670207852194","79.7362586605081","78.926558891455"
"39743","casent0901452","72.5690348525469","71.5891420911528","72.239946380697"
"39744","casent0901506","103.831351351351","81.3335135135135","73.4091891891892"
"39745","casent0901500","129.198003992016","91.4011976047904","68.3508982035928"
"39746","casent0901499","159.473336271485","125.585720581754","79.6632877919788"
